Code,Year,Quarter,Roe,YOYNi,LiabilityTo,YOYEquity,YOYLiability
SZ.000617,2025,2,0.02533,-0.124853,0.008251,0.007493,0.003661
SZ.000619,2025,2,-0.011265,-1.998671,0.004257,-0.047057,-0.061699
SZ.000620,2025,2,-0.033312,-21.985251,0.00566,-0.116469,-0.124327
SZ.000623,2025,2,0.043451,1.46759,0.001154,0.056597,-0.179222
SZ.000625,2025,2,0.030025,-0.202117,0.005666,0.059968,-0.098818
SZ.000626,2025,2,0.012298,2.430511,0.00681,-0.087033,-0.084662
SZ.000628,2025,2,0.031207,0.121515,0.008329,0.028954,-0.017061
SZ.000629,2025,2,-0.016082,-2.466869,0.001388,-0.000746,-0.15925
SZ.000630,2025,2,0.042535,-0.449708,0.005454,0.025027,0.119402
SZ.000631,2025,2,0.008606,0.087438,0.002112,0.021768,0.279921
SZ.000632,2025,2,-0.108772,-3.306892,0.008376,-0.413743,-0.067223
SZ.000633,2025,2,0.023909,0.78632,0.004674,0.066497,2.372683
SZ.000635,2025,2,-0.151532,-0.259151,0.006382,-0.356258,0.278135
SZ.000636,2025,2,0.013593,-0.192506,0.002531,0.022676,0.177938
SZ.000637,2025,2,-0.136549,-0.040964,0.006918,-0.118727,0.033616
SZ.000638,2025,2,-0.034066,-111.637251,0.004767,-0.149943,-0.434381
SZ.000639,2025,2,-0.006397,-1.824094,0.004546,-0.146817,-0.080756
SZ.000650,2025,2,0.046699,-0.13924,0.001156,-0.004441,-0.098825
SZ.000651,2025,2,0.105658,0.045015,0.006521,0.149729,-0.005955
SZ.000652,2025,2,0.011388,-0.85251,0.008611,0.008561,0.111488
SZ.000655,2025,2,0.044242,0.850662,0.001362,0.049296,0.193307
SZ.000656,2025,2,0.0,-0.905701,0.011414,-123.826088,0.045583
SZ.000657,2025,2,0.059758,0.114089,0.004692,0.654392,0.2489
SZ.000659,2025,2,-0.181897,-2.637342,0.009475,-0.408527,0.112577
SZ.000661,2025,2,0.042886,-0.480971,0.001875,0.041669,0.1776
SZ.000663,2025,2,-0.017409,0.128066,0.003245,-0.070165,0.2067
SZ.000665,2025,2,-0.05751,-0.179204,0.005899,-0.165711,0.064202
SZ.000668,2025,2,-0.034685,-0.397226,0.0045,-0.346147,-0.115544
SZ.000669,2025,2,-1.460157,0.528745,0.009585,-0.973113,0.007674
SZ.000670,2025,2,-0.822643,-70.519551,0.008111,0.082683,0.166962
SZ.000672,2025,2,0.028143,0.912749,0.004508,0.002182,-0.078188
SZ.000676,2025,2,0.019608,-0.259783,0.001553,0.085246,0.301542
SZ.000677,2025,2,0.058739,0.148574,0.004133,0.099054,2.399603
SZ.000678,2025,2,-0.019733,-0.400788,0.006368,-0.056192,0.043128
SZ.000679,2025,2,-0.145677,-0.219979,0.008615,-0.280604,0.172932
