ts_code,symbol,name,area,industry,market,cnspell,list_date,act_name,act_ent_type,list_status
000565.SZ,000565,渝三峡Ａ,重庆,染料涂料,主板,YSXA,19940408,重庆市国有资产监督管理委员会,地方国有企业,L
000566.SZ,000566,海南海药,海南,化学制药,主板,HNHY,19940525,国务院国有资产监督管理委员会,中央企业,L
000567.SZ,000567,海德股份,海南,多元金融,主板,HDGF,19940525,王广西,民营企业,L
000568.SZ,000568,泸州老窖,四川,白酒,主板,LZLJ,19940509,泸州市国有资产监督管理委员会,地方国有企业,L
000570.SZ,000570,苏常柴Ａ,江苏,农用机械,主板,SCCA,19940701,常州市人民政府国有资产监督管理委员会,地方国有企业,L
000571.SZ,000571,新大洲A,海南,煤炭开采,主板,XDZA,19940525,王文锋,民营企业,L
000572.SZ,000572,海马汽车,海南,汽车整车,主板,HMQC,19940808,景柱,民营企业,L
000573.SZ,000573,粤宏远Ａ,广东,区域地产,主板,YHYA,19940815,陈海涛,民营企业,L
000576.SZ,000576,甘化科工,广东,电气设备,主板,GHKG,19940907,胡成中,民营企业,L
000581.SZ,000581,威孚高科,江苏,汽车配件,主板,WFGK,19980924,无锡市人民政府国有资产监督管理委员会,地方国有企业,L
000582.SZ,000582,北部湾港,广西,港口,主板,BBWG,19951102,广西壮族自治区人民政府国有资产监督管理委员会,地方国有企业,L
000586.SZ,000586,汇源通信,四川,通信设备,主板,HYTX,19951220,无实际控制人,其他,L
000589.SZ,000589,贵州轮胎,贵州,汽车配件,主板,GZLT,19960308,贵阳市人民政府国有资产监督管理委员会,地方国有企业,L
000590.SZ,000590,古汉医药,湖南,中成药,主板,GHYY,19960119,江琎,民营企业,L
000591.SZ,000591,太阳能,重庆,新型电力,主板,TYN,19960208,国务院国有资产监督管理委员会,中央企业,L
000592.SZ,000592,平潭发展,福建,林业,主板,PTFZ,19960327,刘平山,民营企业,L
000593.SZ,000593,德龙汇能,四川,供气供热,主板,DLHN,19960312,丁立国,民营企业,L
000595.SZ,000595,*ST宝实,宁夏,新型电力,主板,*STBS,19960419,宁夏回族自治区人民政府,地方国有企业,L
000596.SZ,000596,古井贡酒,安徽,白酒,主板,GJGJ,19960927,亳州市财政局(亳州市政府国有资产监督管理委员会),地方国有企业,L
000597.SZ,000597,东北制药,辽宁,化学制药,主板,DBZY,19960523,方威,民营企业,L
000598.SZ,000598,兴蓉环境,四川,水务,主板,XRHJ,19960529,成都市国有资产监督管理委员会,地方国有企业,L
000599.SZ,000599,青岛双星,山东,汽车配件,主板,QDSX,19960430,青岛市人民政府国有资产监督管理委员会,地方国有企业,L
000600.SZ,000600,建投能源,河北,火力发电,主板,JTNY,19960606,河北省人民政府国有资产监督管理委员会,地方国有企业,L
000601.SZ,000601,韶能股份,广东,水力发电,主板,SNGF,19960830,无实际控制人,其他,L
000603.SZ,000603,盛达资源,北京,铅锌,主板,SDZY,19960823,赵满堂,民营企业,L
000605.SZ,000605,渤海股份,北京,水务,主板,BHGF,19960913,天津市人民政府国有资产监督管理委员会,地方国有企业,L
000607.SZ,000607,华媒控股,浙江,广告包装,主板,HMKG,19960830,杭州日报报业集团(杭州日报社),地方国有企业,L
000608.SZ,000608,*ST阳光,广西,区域地产,主板,*STYG,19960919,陈华,民营企业,L
000609.SZ,000609,ST中迪,北京,区域地产,主板,STZD,19961010,门洪达,民营企业,L
000610.SZ,000610,西安旅游,陕西,旅游服务,主板,XALY,19960926,西安曲江新区管理委员会,地方国有企业,L
000612.SZ,000612,焦作万方,河南,铝,主板,JZWF,19960926,钭正刚,民营企业,L
000615.SZ,000615,*ST美谷,湖北,医疗保健,主板,*STMG,19961016,无实际控制人,其他,L
000617.SZ,000617,中油资本,新疆,多元金融,主板,ZYZB,19961022,中国石油天然气集团有限公司,中央企业,L
000619.SZ,000619,海螺新材,安徽,其他建材,主板,HLXC,19961023,安徽省人民政府国有资产监督管理委员会,地方国有企业,L
000620.SZ,000620,盈新发展,北京,全国地产,主板,YXFZ,19961029,王赓宇,民营企业,L
000623.SZ,000623,吉林敖东,吉林,中成药,主板,JLAD,19961028,李秀林,民营企业,L
000625.SZ,000625,长安汽车,重庆,汽车整车,主板,CAQC,19970610,国务院国有资产监督管理委员会,中央企业,L
000626.SZ,000626,远大控股,江苏,商贸代理,主板,YDKG,19961128,胡凯军,民营企业,L
000628.SZ,000628,高新发展,四川,建筑工程,主板,GXFZ,19961118,成都高新技术产业开发区管理委员会,地方国有企业,L
000629.SZ,000629,钒钛股份,四川,小金属,主板,FTGF,19961115,鞍钢集团有限公司,中央企业,L
000630.SZ,000630,铜陵有色,安徽,铜,主板,TLYS,19961120,安徽省人民政府国有资产监督管理委员会,地方国有企业,L
000631.SZ,000631,顺发恒能,浙江,综合类,主板,SFHN,19961122,鲁伟鼎,民营企业,L
000632.SZ,000632,三木集团,福建,综合类,主板,SMJT,19961121,福州经济技术开发区财政局,地方国有企业,L
000633.SZ,000633,合金投资,新疆,小金属,主板,HJTZ,19961112,王云章,民营企业,L
000635.SZ,000635,英力特,宁夏,化工原料,主板,YLT,19961120,国务院国有资产监督管理委员会,中央企业,L
000636.SZ,000636,风华高科,广东,元器件,主板,FHGK,19961129,广东省人民政府国有资产监督管理委员会,地方国有企业,L
000637.SZ,000637,茂化实华,广东,石油加工,主板,MHSH,19961114,茂名市人民政府国有资产监督管理委员会,地方国有企业,L
000638.SZ,000638,*ST万方,吉林,农业综合,主板,*STWF,19961126,无实际控制人,其他,L
000639.SZ,000639,西王食品,山东,食品,主板,XWSP,19961126,王勇,民营企业,L
000650.SZ,000650,仁和药业,江西,中成药,主板,RHYY,19961210,杨文龙,民营企业,L
000651.SZ,000651,格力电器,广东,家用电器,主板,GLDQ,19961118,无实际控制人,其他,L
000652.SZ,000652,泰达股份,天津,批发业,主板,TDGF,19961128,天津市人民政府国有资产监督管理委员会,地方国有企业,L
000655.SZ,000655,金岭矿业,山东,普钢,主板,JLKY,19961128,山东省人民政府国有资产监督管理委员会,地方国有企业,L
000656.SZ,000656,*ST金科,重庆,全国地产,主板,*STJK,19961128,黄红云,民营企业,L
000657.SZ,000657,中钨高新,海南,小金属,主板,ZWGX,19961205,中国五矿集团有限公司,中央企业,L
000659.SZ,000659,珠海中富,广东,广告包装,主板,ZHZF,19961203,无实际控制人,其他,L
000661.SZ,000661,长春高新,吉林,生物制药,主板,CCGX,19961218,长春新区国有资产监督管理局,地方国有企业,L
000663.SZ,000663,永安林业,福建,林业,主板,YALY,19961206,国务院国有资产监督管理委员会,中央企业,L
000665.SZ,000665,湖北广电,湖北,影视音像,主板,HBGD,19961210,湖北省委宣传部,地方国有企业,L
000668.SZ,000668,*ST荣控,山东,房产服务,主板,*STRK,19961210,王征,外资,L
000669.SZ,000669,ST金鸿,湖南,供气供热,主板,STJH,19961210,徐博,民营企业,L
000670.SZ,000670,盈方微,湖北,元器件,主板,YFW,19961217,无实际控制人,其他,L
000672.SZ,000672,上峰水泥,甘肃,水泥,主板,SFSN,19961218,俞锋,民营企业,L
000676.SZ,000676,智度股份,广东,互联网,主板,ZDGF,19961224,无实际控制人,其他,L
000677.SZ,000677,恒天海龙,山东,化纤,主板,HTHL,19961226,胡兴荣,民营企业,L
000678.SZ,000678,襄阳轴承,湖北,汽车配件,主板,XYZC,19970106,湖北省人民政府国有资产监督管理委员会,地方国有企业,L
000679.SZ,000679,大连友谊,辽宁,百货,主板,DLYY,19970124,陈志祥,民营企业,L
